"game","superid","round","showScore","initScore","payoff","cumulativePayoff","cPayoffS","WealthLevel","coop","local_rate_coop","degree","happ","harm"
115,11501,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
115,11502,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
115,11503,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
115,11504,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
115,11505,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
115,11506,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
115,11508,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
115,11509,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
115,11510,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
115,11511,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
115,11512,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
116,11601,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
116,11604,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
116,11605,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
116,11607,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
116,11608,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
116,11610,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
116,11611,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
116,11613,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
116,11614,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
116,11615,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
117,11700,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
117,11701,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
117,11703,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
117,11704,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
117,11705,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
117,11706,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,11707,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
117,11708,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
117,11709,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
117,11710,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
117,11711,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
117,11713,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
117,11714,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
118,11800,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
118,11802,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
118,11803,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
118,11805,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
118,11807,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
118,11808,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
118,11809,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
118,11810,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
118,11811,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
118,11812,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
118,11813,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
118,11815,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
118,11816,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
119,11900,0,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,11901,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
119,11902,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
119,11903,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,11904,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
119,11907,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
119,11910,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
119,11912,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
119,11913,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
120,12000,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
120,12001,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
