superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_harm_rate,country3,yindex,rank,post_coop_local_coop_rate,post_coop_local_harm_rate,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
20104,7,201,0,200,250,2100,0.735722101560834,Richer,1,1,6,2,0,male,9,1,0,50,3,10,5,1,US,0.0908298890815844,0.777777777777778,1,0,2,10,0.222222222222222,0.54128701072509,0.21,0.0441,0.025,81
20104,8,201,0,200,600,2700,1.11067649570906,Richer,0,1,5,2,0,male,9,1,0,50,3,10,6,1,US,0.0292283288344489,0.888888888888889,1,0,2,10,0.222222222222222,1.23360227812056,0.27,0.0729,0.06,81
20104,9,201,0,200,250,2950,1.03466193867923,Richer,1,1,5,2,0,male,9,1,0,50,3,10,5,1,US,0.047964460733474,0.888888888888889,1,0,0,10,0,1.07052532735146,0.295,0.087025,0.025,81
20104,10,201,0,200,500,3450,1.22386411939356,Richer,0,1,4,2,0,male,9,1,0,50,3,10,5,1,US,0.0301444364382651,0.888888888888889,1,0,2,10,0.222222222222222,1.49784338273897,0.345,0.119025,0.05,81
20104,11,201,0,200,200,3650,1.10410489494777,Richer,1,1,5,2,0,male,9,1,0,50,3,10,4,1,US,0.0517549169506766,0.888888888888889,1,0,1,10,0.111111111111111,1.21904761904763,0.365,0.133225,0.02,81
20104,12,201,0,200,250,3900,1.0322012230692,Richer,1,1,6,2,0,male,9,1,0,50,3,10,5,1,US,0.0665936272947872,0.888888888888889,1,0,2,10,0.222222222222222,1.06543936490555,0.39,0.1521,0.025,81
20104,13,201,0,200,200,4100,1.06539335490905,Richer,1,0.833333333333333,5,1,0,male,9,1,0,50,3,10,6,0.833333333333333,US,0.0481533719732902,0.888888888888889,0.833333333333333,0,1,10,0.111111111111111,1.13506300068436,0.41,0.1681,0.02,81
20104,14,201,0,200,500,4600,1.36783655794021,Richer,0,1,4,2,0,male,9,1,0,50,3,10,5,1,US,0,0.944444444444444,1,0,1,10,0.111111111111111,1.87097684923772,0.46,0.2116,0.05,81
20104,15,201,0,200,200,4800,1.38025221836361,Richer,1,1,4,2,0,male,9,1,0,50,3,10,4,1,US,0,1,1,0,0,10,0,1.90509618629767,0.48,0.2304,0.02,81
20105,0,201,0,200,NA,200,-0.316227766016838,Middle,NA,NA,2,-2,NA,male,13,0,-2,100,2,10,NA,NA,US,0.316227766016838,0.444444444444444,NA,NA,0,10,0,0.1,0.02,4e-04,NA,169
20105,1,201,0,200,100,300,-0.409991933108455,Middle,0,NA,2,0,0,male,13,0,-2,100,2,10,2,0.5,US,0.546655910811273,0.444444444444444,0.5,0,3,10,0.333333333333333,0.168093385214008,0.03,9e-04,0.01,169
20105,2,201,0,200,100,400,-0.688775755520101,Poorer,1,1,3,0,0,male,13,0,-2,100,2,10,2,1,US,0.772772798876211,0.277777777777778,1,0,1,10,0.111111111111111,0.474412041392286,0.04,0.0016,0.01,169
20105,3,201,0,200,150,550,-0.886095917552798,Poorer,1,1,4,0,0,male,13,0,-2,100,2,10,3,1,US,0.947205980832301,0.222222222222222,1,0,2,10,0.222222222222222,0.785165975103735,0.055,0.003025,0.015,169
20105,4,201,0,200,0,550,-1.20355313384387,Poorer,1,0.75,7,1,0,male,13,0,-2,100,2,10,4,0.5,US,1.21788114734201,0.111111111111111,0.75,0.25,5,10,0.555555555555556,1.4485401459854,0.055,0.003025,0,169
20105,5,201,0,200,350,900,-0.809767888569685,Poorer,1,1,7,1,0,male,13,0,-2,100,2,10,7,1,US,0.927314840136252,0.222222222222222,1,0,0,10,0,0.655724033358606,0.09,0.0081,0.035,169
20105,6,201,0,200,250,1150,-0.623531381828093,Poorer,1,0.857142857142857,7,1,0,male,13,0,-2,100,2,10,7,0.857142857142857,US,0.787618587572328,0.222222222222222,0.857142857142857,0,1,10,0.111111111111111,0.388791384124451,0.115,0.013225,0.025,169
20105,7,201,0,200,350,1500,-0.354236567418179,Middle,1,1,7,1,0,male,13,0,-2,100,2,10,7,1,US,0.590394279030299,0.333333333333333,1,0,2,10,0.222222222222222,0.125483545696214,0.15,0.0225,0.035,169
20105,8,201,0,200,250,1750,-0.277669123927264,Middle,1,0.857142857142857,6,1,0,male,13,0,-2,100,2,10,7,0.857142857142857,US,0.540724083437304,0.333333333333333,0.857142857142857,0,2,10,0.222222222222222,0.0771001423825343,0.175,0.030625,0.025,169
20105,9,201,0,200,300,2050,-0.198709908752964,Middle,1,1,6,1,0,male,13,0,-2,100,2,10,6,1,US,0.486496673153808,0.333333333333333,1,0,2,10,0.222222222222222,0.0394856278366113,0.205,0.042025,0.03,169
20105,10,201,0,200,300,2350,-0.102491083890101,Middle,1,1,6,0,0,male,13,0,-2,100,2,10,6,1,US,0.415993222848059,0.333333333333333,1,0,2,10,0.222222222222222,0.0105044222769677,0.235,0.055225,0.03,169
20105,11,201,0,200,300,2650,-0.0460043706228236,Middle,1,1,6,0,0,male,13,0,-2,100,2,10,6,1,US,0.373785511310442,0.333333333333333,1,0,1,10,0.111111111111111,0.00211640211640212,0.265,0.070225,0.03,169
20105,12,201,0,200,300,2950,-0.0221978757649291,Middle,1,1,6,0,0,male,13,0,-2,100,2,10,6,1,US,0.360715481180098,0.444444444444444,1,0,0,10,0,0.000492745688475227,0.295,0.087025,0.03,169
20105,13,201,0,200,200,3150,-0.0782492294565966,Middle,1,0.833333333333333,5,1,0,male,13,0,-2,100,2,10,6,0.833333333333333,US,0.373188632792999,0.333333333333333,0.833333333333333,0,1,10,0.111111111111111,0.0061229419105511,0.315,0.099225,0.02,169
