superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_rate,country3,yindex,rank,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
10103,9,101,0,200,400,2450,-0.808124113287277,Poorer,1,0.875,8,2,NA,male,3,1,0,750,2,10,8,1,US,0.846606213920004,0.111111111111111,1,10,0.111111111111111,0.653064582476348,0.245,0.060025,0.04,9
10103,10,101,0,200,200,2650,-0.684039485193921,Poorer,1,1,7,-1,NA,male,3,1,0,750,2,10,8,0.75,US,0.710348696162918,0.111111111111111,1,10,0.111111111111111,0.467910017304364,0.265,0.070225,0.02,9
10103,11,101,0,200,150,2800,-0.658553823169218,Poorer,1,0.857142857142857,8,-1,NA,male,3,1,0,750,2,10,7,0.714285714285714,US,0.684895976095987,0.111111111111111,2,10,0.222222222222222,0.433693138010794,0.28,0.0784,0.015,9
10103,12,101,0,200,600,3400,-0.295918177149643,Middle,0,0.75,6,0,NA,male,3,1,0,750,2,10,8,0.75,US,0.48333302267775,0.666666666666667,1,10,0.111111111111111,0.0875675675675675,0.34,0.1156,0.06,9
10103,13,101,0,200,200,3600,-0.294116493201531,Middle,1,0.833333333333333,6,0,NA,male,3,1,0,750,2,10,6,0.833333333333333,US,0.495796374254009,0.666666666666667,2,10,0.222222222222222,0.0865045115731662,0.36,0.1296,0.02,9
10103,14,101,0,200,200,3800,-0.331681712175829,Middle,1,0.833333333333333,5,0,NA,male,3,1,0,750,2,10,6,0.833333333333333,US,0.514678518893528,0.666666666666667,1,10,0.111111111111111,0.110012758191889,0.38,0.1444,0.02,9
10103,15,101,0,200,150,3950,-0.403225840224433,Middle,1,0.8,7,0,NA,male,3,1,0,750,2,10,5,0.8,US,0.545960650923347,0.666666666666667,4,10,0.444444444444444,0.1625910782247,0.395,0.156025,0.015,9
10104,0,101,0,200,NA,200,-0.474341649025257,Middle,NA,NA,7,0,NA,male,-8,2,0,550,7,10,NA,NA,US,0.474341649025257,0.388888888888889,0,10,0,0.225,0.02,4e-04,NA,64
10104,1,101,0,200,250,450,-0.255705669499855,Middle,1,NA,7,2,NA,male,-8,2,0,550,7,10,7,0.857142857142857,US,0.471036759604996,0.666666666666667,3,10,0.333333333333333,0.0653853894143691,0.045,0.002025,0.025,64
10104,2,101,0,200,350,800,0.120880712782437,Middle,1,0.857142857142857,8,2,NA,male,-8,2,0,550,7,10,7,1,US,0.335779757728993,0.666666666666667,1,10,0.111111111111111,0.01461214672279,0.08,0.0064,0.035,64
10104,3,101,0,200,300,1100,0.240421604209565,Middle,1,1,8,1,NA,male,-8,2,0,550,7,10,8,0.875,US,0.327847642103952,0.666666666666667,1,10,0.111111111111111,0.0578025477707007,0.11,0.0121,0.03,64
10104,4,101,0,200,200,1300,0.097613486185436,Middle,1,0.875,9,1,NA,male,-8,2,0,550,7,10,8,0.75,US,0.363832084872989,0.666666666666667,1,10,0.111111111111111,0.0095283926852743,0.13,0.0169,0.02,64
10104,5,101,0,200,450,1750,0.327725188714678,Middle,1,0.777777777777778,8,2,NA,male,-8,2,0,550,7,10,9,1,US,0.271543727792162,0.666666666666667,1,10,0.111111111111111,0.107403799318071,0.175,0.030625,0.045,64
10104,6,101,0,200,300,2050,0.301791429491459,Middle,1,1,8,1,NA,male,-8,2,0,550,7,10,8,0.875,US,0.275923592677905,0.666666666666667,2,10,0.222222222222222,0.0910780669144983,0.205,0.042025,0.03,64
10104,7,101,0,200,400,2450,0.491025651196418,Middle,1,0.875,8,2,NA,male,-8,2,0,550,7,10,8,1,US,0.231070894680667,0.777777777777778,1,10,0.111111111111111,0.241106190132866,0.245,0.060025,0.04,64
10104,8,101,0,200,300,2750,0.41791327334175,Middle,1,1,9,1,NA,male,-8,2,0,550,7,10,8,0.875,US,0.254381992468891,0.777777777777778,1,10,0.111111111111111,0.174651504035216,0.275,0.075625,0.03,64
10104,9,101,0,200,350,3100,0.442544157276366,Middle,1,0.888888888888889,8,1,NA,male,-8,2,0,550,7,10,9,0.888888888888889,US,0.250133654112729,0.777777777777778,3,10,0.333333333333333,0.195845331139449,0.31,0.0961,0.035,64
10104,10,101,0,200,200,3300,0.17100987129848,Middle,1,1,8,0,NA,male,-8,2,0,550,7,10,8,0.75,US,0.328865137112462,0.777777777777778,2,10,0.222222222222222,0.0292443760815227,0.33,0.1089,0.02,64
10104,11,101,0,200,600,3900,0.500500905608606,Richer,0,0.75,6,0,NA,male,-8,2,0,550,7,10,8,0.75,US,0.25288466809698,0.777777777777778,0,10,0,0.250501156515035,0.39,0.1521,0.06,64
10104,12,101,0,200,200,4100,0.394557569532858,Middle,1,1,6,1,NA,male,-8,2,0,550,7,10,6,0.833333333333333,US,0.276190298673,0.777777777777778,0,10,0,0.155675675675676,0.41,0.1681,0.02,64
10104,13,101,0,200,600,4700,0.630249628288994,Richer,0,0.833333333333333,7,2,NA,male,-8,2,0,550,7,10,6,1,US,0.218486537806851,0.777777777777778,5,10,0.555555555555556,0.397214593958415,0.47,0.2209,0.06,64
10104,14,101,0,200,700,5400,0.888296999275497,Richer,0,1,7,2,NA,male,-8,2,0,550,7,10,7,1,US,0.14868490545813,0.777777777777778,4,10,0.444444444444444,0.789071558921852,0.54,0.2916,0.07,64
10104,15,101,0,200,600,6000,1.05980596943944,Richer,0,1,6,2,NA,male,-8,2,0,550,7,10,7,0.857142857142857,US,0.107051108024186,0.777777777777778,3,10,0.333333333333333,1.12318869285947,0.6,0.36,0.06,64
10105,0,101,0,200,NA,200,-0.474341649025257,Middle,NA,NA,1,-1,NA,male,4,2,-1,650,1,10,NA,NA,US,0.474341649025257,0.388888888888889,0,10,0,0.225,0.02,4e-04,NA,16
10105,1,101,0,200,-50,150,-1.06319725739413,Poorer,1,NA,3,-2,NA,male,4,2,-1,650,1,10,1,0,US,1.06319725739413,0,3,10,0.333333333333333,1.1303884081304,0.015,0.000225,-0.005,16
10105,2,101,0,200,150,300,-1.22223831813353,Poorer,1,0.666666666666667,5,1,NA,male,4,2,-1,650,1,10,3,1,US,1.22223831813353,0,3,10,0.333333333333333,1.49386650631388,0.03,9e-04,0.015,16
10105,3,101,0,200,150,450,-1.18025151157423,Poorer,1,1,5,1,NA,male,4,2,-1,650,1,10,5,0.8,US,1.18025151157423,0,0,10,0,1.39299363057325,0.045,0.002025,0.015,16
10105,4,101,0,200,150,600,-1.14473997435648,Poorer,1,0.8,5,1,NA,male,4,2,-1,650,1,10,5,0.8,US,1.14473997435648,0,2,10,0.222222222222222,1.31042960888967,0.06,0.0036,0.015,16
